%x,y,z,time,dist1,dist2,speed,idiothetic turning angle,three-dimensional angle
0.01700,-0.17100,0.23100,0.00707,0.00510,0.01269,2.58833,13.89789,-90.00000
0.01000,-0.17200,0.23100,0.00608,0.00707,0.01208,-7.14249,12.45116,-80.53768
0.00400,-0.17200,0.23200,0.00510,0.00608,0.01308,-6.20690,1.84761,-78.69007
-0.00100,-0.17200,0.23300,0.00548,0.00510,0.01118,13.41847,14.81531,-68.58329
-0.00600,-0.17100,0.23500,0.00583,0.00548,0.01049,15.64922,13.91641,-59.03624
-0.01100,-0.17100,0.23800,0.00539,0.00583,0.01122,-13.25216,22.54956,-56.14549
-0.01500,-0.16900,0.24100,0.00510,0.00539,0.01100,-18.56953,10.49148,-53.96011
-0.01900,-0.16800,0.24400,0.00539,0.00510,0.01044,17.58283,33.11134,-42.03111
-0.02100,-0.16500,0.24800,0.00648,0.00539,0.01005,4.94052,13.03917,-39.50971
-0.02200,-0.16100,0.25300,0.00781,0.00648,0.01179,4.87274,8.94945,-39.80557
-0.02200,-0.15600,0.25900,0.00735,0.00781,0.01425,-16.97880,16.60479,-47.12401
-0.02000,-0.15100,0.26400,0.00806,0.00735,0.01500,10.34996,5.21516,-51.67118
-0.01800,-0.14500,0.26900,0.00707,0.00806,0.01539,-8.14369,10.79458,-55.55010
-0.01500,-0.14000,0.27300,0.00806,0.00707,0.01507,7.14249,10.79458,-51.67118
-0.01300,-0.13400,0.27800,0.00616,0.00806,0.01507,-4.24329,9.62148,-60.87843
-0.01100,-0.12900,0.28100,0.00735,0.00616,0.01418,5.18018,6.58678,-65.90516
-0.00800,-0.12300,0.28400,0.00640,0.00735,0.01349,-7.73523,16.98818,-81.01512
-0.00600,-0.11700,0.28500,0.00548,0.00640,0.01360,-6.95992,3.65552,-79.48027
-0.00400,-0.11200,0.28600,0.00539,0.00548,0.01187,-60.85806,10.51973,-90.00000
-0.00200,-0.10700,0.28600,0.00548,0.00539,0.01082,59.83516,23.73943,-111.41671
-0.00100,-0.10200,0.28400,0.00539,0.00548,0.01063,-60.85806,10.51973,-111.80141
-0.00100,-0.09700,0.28200,0.00583,0.00539,0.01082,12.23901,9.16235,-120.96376
-0.00100,-0.09200,0.27900,0.00640,0.00583,0.01118,10.22974,7.69605,-128.65981
-0.00100,-0.08700,0.27500,0.00714,0.00640,0.01221,8.65287,10.23362,-134.43824
-0.00200,-0.08200,0.27000,0.00648,0.00714,0.01349,-10.82035,6.32531,-140.49029
-0.00300,-0.07800,0.26500,0.00806,0.00648,0.01360,4.10173,12.55502,-128.32882
-0.00500,-0.07200,0.26000,0.00837,0.00806,0.01446,26.00728,6.64901,-126.69923
-0.00800,-0.06600,0.25500,0.00768,0.00837,0.01640,-12.12551,5.20577,-130.61286
-0.01100,-0.06100,0.25000,0.00877,0.00768,0.01603,7.04692,6.25911,-124.73648
-0.01500,-0.05500,0.24500,0.00985,0.00877,0.01643,8.12497,5.67365,-127.53224
-0.02000,-0.04900,0.23900,0.00985,0.00985,0.01860,Inf,8.23428,-120.50896
-0.02600,-0.04300,0.23400,0.00927,0.00985,0.01965,-16.98079,9.80658,-130.31554
-0.03100,-0.03800,0.22800,0.01109,0.00927,0.01905,5.09539,7.36874,-129.13640
-0.03800,-0.03300,0.22100,0.01158,0.01109,0.02032,22.63375,4.42244,-127.20783
-0.04500,-0.02700,0.21400,0.01049,0.01158,0.02265,-10.62003,8.73569,-131.86854
-0.05000,-0.02100,0.20700,0.01100,0.01049,0.02200,20.56488,11.63106,-123.05573
-0.05700,-0.01500,0.20100,0.00985,0.01100,0.02138,-9.56522,4.52331,-120.50896
-0.06300,-0.00900,0.19600,0.01005,0.00985,0.02083,49.24429,8.06847,-113.45414
-0.06900,-0.00200,0.19200,0.00872,0.01005,0.01985,-7.55630,11.01059,-103.26268
-0.07500,0.00400,0.19000,0.00787,0.00872,0.01868,-10.25623,7.85457,-97.29628
-0.08000,0.01000,0.18900,0.00812,0.00787,0.01655,31.49603,9.98407,-97.07056
-0.08400,0.01700,0.18800,0.00640,0.00812,0.01594,-4.72328,11.36064,-90.00000
-0.08800,0.02200,0.18800,0.00707,0.00640,0.01446,9.55690,6.34019,-90.00000
-0.09300,0.02700,0.18800,0.00671,0.00707,0.01345,-19.64186,18.43495,-90.00000
-0.09600,0.03300,0.18800,0.00566,0.00671,0.01360,-6.38877,18.43495,-90.00000
-0.10000,0.03700,0.18800,0.00574,0.00566,0.01221,70.71068,10.02499,-100.02499
-0.10400,0.04100,0.18700,0.00574,0.00574,0.01136,Inf,0.00000,-100.02499
-0.10800,0.04500,0.18600,0.00412,0.00574,0.01149,-3.54603,21.74518,-119.01714
-0.11100,0.04700,0.18400,0.00469,0.00412,0.00970,7.23352,10.74502,-115.23940
-0.11400,0.05000,0.18200,0.00346,0.00469,0.00877,-3.81335,10.02499,-125.26439
-0.11600,0.05200,0.18000,0.00458,0.00346,0.00812,3.09295,28.12551,-115.87669
-0.11700,0.05600,0.17800,0.00424,0.00458,0.00781,-13.47816,22.20765,-135.00000
-0.11700,0.05900,0.17500,0.00374,0.00424,0.00866,-8.48528,19.10661,-122.31153
-0.11600,0.06200,0.17300,0.00520,0.00374,0.00787,2.56278,22.20765,-125.26439
-0.11300,0.06500,0.17000,0.00656,0.00520,0.00877,3.82070,14.42007,-117.22563
-0.10800,0.06800,0.16700,0.00600,0.00656,0.01166,-11.70971,15.02246,-131.81031
-0.10400,0.07000,0.16300,0.00787,0.00600,0.01245,3.20856,21.35623,-112.39566
-0.09700,0.07200,0.16000,0.00831,0.00787,0.01364,17.89547,6.39059,-118.78625
-0.09000,0.07400,0.15600,0.00700,0.00831,0.01616,-6.34093,4.06620,-115.37693
-0.08400,0.07600,0.15300,0.00949,0.00700,0.01530,2.81124,11.81880,-121.80610
-0.07600,0.07700,0.14800,0.00911,0.00949,0.01640,-24.96535,13.61627,-123.28619
-0.06900,0.08000,0.14300,NaN,0.00911,0.01847,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.04900,0.08600,0.12700,0.00883,NaN,0.02631,NaN,NaN,-124.48139
-0.04200,0.08800,0.12200,0.00837,0.00883,NaN,-19.19948,8.91075,-126.69923
-0.03600,0.09100,0.11700,0.00900,0.00837,0.01715,13.28032,5.11109,-131.81031
-0.03000,0.09400,0.11100,0.00671,0.00900,0.01735,-3.93013,6.37937,-126.60428
-0.02500,0.09600,0.10700,0.00825,0.00671,0.01568,4.35598,12.52881,-119.01714
-0.01900,0.10000,0.10300,0.00640,0.00825,0.01487,-4.45741,9.99588,-128.65981
-0.01500,0.10300,0.09900,0.00583,0.00640,0.01459,-11.23355,15.37550,-120.96376
-0.01200,0.10700,0.09600,0.00656,0.00583,0.01212,7.98761,6.37060,-117.22563
-0.00900,0.11200,0.09300,0.00616,0.00656,0.01237,-16.39360,8.29380,-119.12157
-0.00700,0.11700,0.09000,0.00592,0.00616,0.01269,-25.68506,9.20035,-120.47036
-0.00600,0.12200,0.08700,0.00721,0.00592,0.01204,4.58611,10.10261,-123.69007
-0.00600,0.12800,0.08300,0.00721,0.00721,0.01308,Inf,0.00000,-123.69007
-0.00600,0.13400,0.07900,0.00728,0.00721,0.01442,103.01575,7.89514,-123.32876
-0.00500,0.14000,0.07500,0.00648,0.00728,0.01446,-9.10014,17.48726,-128.11293
-0.00600,0.14500,0.07100,0.06949,0.00648,0.01360,0.10285,132.28395,-94.95321
-0.01900,0.07700,0.06500,0.06629,0.06949,0.06531,-21.71594,1.64219,-96.06110
-0.03000,0.01200,0.05800,0.15291,0.06629,0.13577,0.76535,174.65753,-89.25057
-0.00600,0.16300,0.06000,0.00608,0.15291,0.08712,-1.04140,13.60698,-99.46232
-0.00600,0.16900,0.05900,0.00412,0.00608,0.15883,-3.10345,16.87454,-90.00000
-0.00500,0.17300,0.05900,0.00447,0.00412,0.01010,11.78030,12.52881,-90.00000
-0.00300,0.17700,0.05900,0.00316,0.00447,0.00854,-3.41384,8.13010,-90.00000
-0.00200,0.18000,0.05900,0.00332,0.00316,0.00762,19.76424,17.54840,-107.54840
-0.00100,0.18300,0.05800,0.00374,0.00332,0.00640,7.89673,49.85993,-143.30077
0.00100,0.18400,0.05500,0.00469,0.00374,0.00640,3.93859,14.38116,-129.76216
0.00400,0.18600,0.05200,0.00616,0.00469,0.00837,3.19076,14.44208,-144.20424
0.00700,0.18800,0.04700,0.00671,0.00616,0.01077,11.20803,19.41785,-153.43495
0.01000,0.18800,0.04100,0.00592,0.00671,0.01269,-8.49140,10.67070,-147.68847
0.01300,0.18900,0.03600,0.00640,0.00592,0.01257,12.32517,12.38384,-141.34019
0.01700,0.18900,0.03100,0.00510,0.00640,0.01225,-4.92548,18.29114,-126.03989
0.02100,0.18800,0.02800,0.00500,0.00510,0.01136,-50.99020,38.32882,-90.00000
0.02600,0.18800,0.02800,0.00374,0.00500,0.00954,-3.96825,36.69923,-74.49864
0.02900,0.18600,0.02900,0.00469,0.00374,0.00831,3.93859,31.27291,-50.23784
0.03100,0.18300,0.03200,0.00469,0.00469,0.00812,Inf,0.00000,-50.23784
0.03300,0.18000,0.03500,0.00374,0.00469,0.00938,-4.93728,14.38116,-36.69923
0.03400,0.17800,0.03800,0.00447,0.00374,0.00837,5.12556,17.02387,-26.56505
0.03400,0.17600,0.04200,0.00447,0.00447,0.00812,Inf,0.00000,-26.56505
0.03400,0.17400,0.04600,0.00510,0.00447,0.00894,7.09863,28.71051,-11.30993
0.03300,0.17400,0.05100,0.00510,0.00510,0.00927,Inf,0.00000,-11.30993
0.03200,0.17400,0.05600,0.00447,0.00510,0.01020,-8.09368,28.71051,-26.56505
0.03200,0.17600,0.06000,0.00458,0.00447,0.00927,40.65578,12.60438,-29.20593
0.03100,0.17800,0.06400,0.08274,0.00458,0.00900,0.05863,114.46063,-90.69249
0.02000,0.09600,0.06300,0.06678,0.08274,0.08095,-5.18425,1.41368,-91.71613
0.01000,0.03000,0.06100,0.06329,0.06678,0.14951,-19.13560,176.72362,-89.09472
0.01600,0.09300,0.06200,0.06398,0.06329,0.00510,91.72894,174.94344,-94.48190
0.00600,0.03000,0.05700,0.17231,0.06398,0.00566,0.59064,175.97479,-89.00241
0.02700,0.20100,0.06000,0.00678,0.17231,0.10858,-1.04096,31.54254,-116.25238
0.02600,0.20700,0.05700,0.00640,0.00678,0.17813,-17.84824,8.05161,-108.20076
0.02500,0.21300,0.05500,0.00510,0.00640,0.01315,-4.92548,11.44887,-101.30993
0.02500,0.21800,0.05400,0.12319,0.00510,0.01145,0.04318,165.44011,-90.93021
0.00800,0.09600,0.05200,0.04329,0.12319,0.11827,-1.54186,1.59868,-90.00000
0.00300,0.05300,0.05200,0.17190,0.04329,0.16647,0.33660,177.59545,-88.33323
0.02800,0.22300,0.05700,0.00300,0.17190,0.12866,-1.01777,123.54854,-70.52878
0.03000,0.22100,0.05800,0.00447,0.00300,0.17026,2.04082,26.56505,-90.00000
0.03200,0.21700,0.05800,0.00548,0.00447,0.00728,4.42786,11.53696,-100.51973
0.03400,0.21200,0.05700,0.10048,0.00548,0.00990,0.05766,27.98895,-92.28140
0.02500,0.11200,0.05300,0.07328,0.10048,0.10535,-3.69426,1.48814,-93.12904
0.02000,0.03900,0.04900,0.15642,0.07328,0.17375,0.88141,175.30565,-89.63370
0.04100,0.19400,0.05000,0.00616,0.15642,0.08360,-1.04099,137.77272,-108.93182
0.04400,0.18900,0.04800,0.00520,0.00616,0.15191,-6.42126,20.51413,-101.09580
0.04500,0.18400,0.04700,0.00510,0.00520,0.01118,-51.96152,25.06583,-101.30993
0.04800,0.18000,0.04600,0.00490,0.00510,0.01005,-25.49510,16.10211,-114.09484
0.05000,0.17600,0.04400,0.00300,0.00490,0.00990,-2.57841,17.71547,-109.47122
0.05200,0.17400,0.04300,0.00412,0.00300,0.00781,2.67857,14.03624,-119.01714
0.05400,0.17100,0.04100,0.00332,0.00412,0.00707,-5.15388,36.44768,-154.76060
0.05500,0.17000,0.03800,0.00245,0.00332,0.00707,-3.81221,10.02499,-144.73561
0.05600,0.16900,0.03600,0.00374,0.00245,0.00574,1.89883,10.89339,-143.30077
0.05800,0.16800,0.03300,0.00283,0.00374,0.00616,-4.11171,19.10661,-135.00000
0.06000,0.16800,0.03100,0.00100,0.00283,0.00648,-1.54559,45.00000,-180.00000
0.06000,0.16800,0.03000,0.00173,0.00100,0.00361,1.36986,125.26439,-54.73561
0.05900,0.16900,0.03100,0.00539,0.00173,0.00141,0.47324,15.22516,-42.03111
0.05600,0.17100,0.03500,0.00583,0.00539,0.00707,12.23901,9.16235,-46.68614
0.05300,0.17400,0.03900,0.00539,0.00583,0.01118,-13.25216,9.16235,-42.03111
0.05100,0.17700,0.04300,0.00583,0.00539,0.01118,12.23901,9.16235,-46.68614
0.04800,0.18000,0.04700,0.00600,0.00583,0.01118,34.29972,13.63302,-48.18969
0.04600,0.18400,0.05100,0.00616,0.00600,0.01175,37.50000,13.26268,-60.87843
0.04400,0.18900,0.05400,0.00548,0.00616,0.01208,-9.06531,12.21091,-68.58329
0.04300,0.19400,0.05600,0.00671,0.00548,0.01158,4.45303,11.53696,-63.43495
0.04300,0.20000,0.05900,0.00640,0.00671,0.01212,-21.63937,12.09476,-71.79924
0.04400,0.20600,0.06100,0.08737,0.00640,0.01304,0.07908,161.33508,-90.00000
0.03600,0.11900,0.06100,0.07624,0.08737,0.08133,-7.84969,0.73981,-90.00000
0.03000,0.04300,0.06100,0.17753,0.07624,0.16360,0.75266,176.04187,-86.77091
0.05100,0.21900,0.07100,0.00600,0.17753,0.10161,-1.03498,63.45682,-48.18969
0.05500,0.22100,0.07500,0.00574,0.00600,0.18029,-23.07692,9.44623,-45.86825
0.05900,0.22200,0.07900,0.00707,0.00574,0.01170,4.31922,10.02499,-45.00000
0.06400,0.22200,0.08400,0.00574,0.00707,0.01277,-5.31659,10.02499,-45.86825
0.06800,0.22100,0.08800,0.00640,0.00574,0.01277,8.70388,17.91336,-51.34019
0.07200,0.21800,0.09200,0.00539,0.00640,0.01200,-6.33973,9.58999,-42.03111
0.07500,0.21600,0.09600,0.00616,0.00539,0.01175,6.99372,6.23535,-35.79576
0.07800,0.21400,0.10100,0.00600,0.00616,0.01153,-38.52759,23.18263,-48.18969
0.08000,0.21000,0.10500,0.00539,0.00600,0.01192,-9.83607,7.95580,-42.03111
0.08200,0.20700,0.10900,0.00469,0.00539,0.01136,-7.69309,8.20673,-50.23784
0.08400,0.20400,0.11200,0.00510,0.00469,0.01005,11.44004,15.91317,-53.96011
0.08500,0.20000,0.11500,0.00469,0.00510,0.00970,-12.43663,15.91317,-50.23784
0.08700,0.19700,0.11800,0.00412,0.00469,0.00970,-8.22880,10.74502,-60.98286
0.08900,0.19400,0.12000,0.00374,0.00412,0.00877,-10.85028,13.51578,-74.49864
0.09100,0.19100,0.12100,0.00374,0.00374,0.00781,Inf,0.00000,-74.49864
0.09300,0.18800,0.12200,0.00510,0.00374,0.00748,2.75122,26.99551,-101.30993
0.09600,0.18400,0.12100,0.00436,0.00510,0.00860,-6.89057,8.17966,-103.26268
0.09900,0.18100,0.12000,0.00374,0.00436,0.00943,-7.03048,11.17999,-105.50136
0.10200,0.17900,0.11900,0.00583,0.00374,0.00806,1.79027,15.73349,-120.96376
0.10600,0.17600,0.11600,0.00374,0.00583,0.00949,-2.78993,15.73349,-122.31153
0.10900,0.17500,0.11400,0.00520,0.00374,0.00949,2.56278,22.20765,-101.09580
0.11400,0.17400,0.11300,0.00361,0.00520,0.00877,-3.26802,24.85248,-123.69007
0.11700,0.17400,0.11100,0.00424,0.00361,0.00860,5.72310,23.76463,-103.63302
0.12100,0.17500,0.11000,0.00510,0.00424,0.00768,4.93330,22.40687,-101.30993
0.12500,0.17800,0.10900,0.00436,0.00510,0.00917,-6.89057,8.17966,-103.26268
